tab,src_row,matched_id,stump_title,new_title,new_body,tier,codes_raw,codes_resolved,codes_unknown
Service Knowledge — AC HVAC,27,,,"BUMPER-TO-BUMPER COVERAGE: 3-year/36,000-mile bumper-to-bumper (Toyota).",Toyota 3/36K; Lexus 4/50K.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,28,,,"REFRIGERANT TRANSITION: Toyota transitioned to R-1234yf in 2015-2017 — PRIUS LED THE TRANSITION, followed by RAV4, Camry",Toyota 2015-2017 transition. Hybrid = POE (ND-Oil 12). Conventional = PAG (ND-Oil 8). Cabin filter 15-30K.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,29,,,"TOYOTA HYBRID MODELS (Prius, Camry Hybrid, RAV4 Hybrid, Highlander Hybrid) USE ELECTRIC A/C COMPRESSORS WITH POE OIL ONL",Toyota Hybrid = POE only. Heat pump = different service.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,30,,,The Tundra and Sequoia with rear A/C use larger refrigerant capacities.,"Toyota truck/Lexus = larger capacity. GR = high-output. Common: condenser, valve, filter.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,32,,,"BUMPER-TO-BUMPER COVERAGE: 3-year/36,000-mile bumper-to-bumper (Honda).",Honda 3/36K; Acura 4/50K.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,33,,,"REFRIGERANT TRANSITION: Honda transitioned to R-1234yf in 2017-2018, starting with Civic.",Honda 2017-2018 transition. PAG 46 or 100. Cabin filter 15-30K.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,34,,,"HONDA HYBRID MODELS (Accord Hybrid, CR-V Hybrid, Insight) USE ELECTRIC A/C COMPRESSORS WITH POE OIL.",Honda Hybrid/EV = POE only. Cross-contamination = cascading failures.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,35,,,"Honda Pilot, Passport, Ridgeline, Acura MDX have rear A/C requiring more refrigerant per service.","Honda V6 SUV = rear A/C, more capacity. Common: condenser, valve, blower.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,37,,,"BUMPER-TO-BUMPER COVERAGE: 3-year/36,000-mile bumper-to-bumper.",Mopar 3/36K B2B only.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,38,,,REFRIGERANT TRANSITION: Stellantis transitioned to R-1234yf approximately 2015-2017 across most applications.,Mopar 2015-2017 transition. PAG46 standard. Cabin filter 30-45K.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,39,,,THE PACIFICA HYBRID USES ELECTRIC A/C COMPRESSOR WITH POE OIL.,Pacifica Hybrid = POE. SRT/Hellcat = high-output. Cummins = HD.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,40,,,Ram 1500/2500/3500 with crew cab and Mega Cab applications have larger refrigerant capacities.,"Ram crew = more capacity. Wrangler soft-top = sealing matters. Common: legacy minivan evap, valve, blend-door.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,42,,,"BUMPER-TO-BUMPER COVERAGE: 3-year/36,000-mile bumper-to-bumper.",Subaru 3/36K B2B only.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,43,,,REFRIGERANT TRANSITION: Subaru transitioned to R-1234yf approximately 2018-2020 — among the LATER adopters.,Subaru 2018-2020 transition. Pre-2018 = R-134a. Cabin filter 15-30K.,zero,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,44,,,THE SOLTERRA EV USES R-1234yf WITH ELECTRIC COMPRESSOR AND POE OIL (shared platform with Toyota bZ4X).,Solterra = POE. BRZ = same as GR86.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,45,,,"Common Subaru issues: condenser leaks in salt-air environments, expansion valve problems, blower motor failures.","Subaru = condenser, valve, blower. Salt-air = real problem.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,47,,,"BUMPER-TO-BUMPER COVERAGE: 5-year/60,000-mile bumper-to-bumper — LONGER THAN MOST COMPETITORS.",Hyundai/Kia 5yr/60K B2B. Best in class. Covers A/C compressor.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,48,,,REFRIGERANT TRANSITION: Hyundai/Kia transitioned to R-1234yf approximately 2017-2019.,H/K 2017-2019 transition. Cabin filter 15-22.5K severe (tightest).,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,49,,,"THE IONIQ 5, IONIQ 6, EV6, EV9, GENESIS EVs USE R-1234yf WITH ELECTRIC COMPRESSORS AND POE OIL.","H/K EV/Hybrid = POE only. 3-row SUV = rear A/C, more capacity.",generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,50,,,"Genesis G80, G90, GV70, GV80 have premium A/C with multi-zone climate control.","Genesis = premium multi-zone. N = high-output. Common: clutch, evap, blend-door.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,52,,,"BUMPER-TO-BUMPER COVERAGE: 3-year/36,000-mile bumper-to-bumper (Nissan).",Nissan 3/36K; Infiniti 4/50K.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,53,,,REFRIGERANT TRANSITION: Nissan transitioned to R-1234yf approximately 2017-2019.,Nissan 2017-2019 transition. Cabin filter 15-30K.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,54,,,THE LEAF AND ARIYA EVs USE R-1234yf WITH ELECTRIC COMPRESSORS AND HEAT PUMP TECHNOLOGY for both cooling AND heating — li,Leaf/Ariya = POE + heat pump. Different service.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,55,,,"Frontier, Titan, Pathfinder, and Armada with crew cab applications have larger refrigerant capacities.","Nissan trucks = bigger capacity. Infiniti = premium. Common: legacy evap, valve, blower.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,57,,,"BUMPER-TO-BUMPER COVERAGE: 3-year/36,000-mile bumper-to-bumper.",Mazda 3/36K B2B only.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,58,,,REFRIGERANT TRANSITION: Mazda transitioned to R-1234yf approximately 2017-2018 across SkyActiv platform vehicles.,Mazda 2017-2018 transition. Cabin filter 15-30K.,zero,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,59,,,THE MX-30 EV USES R-1234yf WITH ELECTRIC COMPRESSOR AND POE OIL.,Mazda EV/PHEV = POE only. SkyActiv = specific mounting.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,60,,,"Mazda's i-stop start-stop system causes more A/C compressor cycling than non-stop-start vehicles, contributing to faster",Mazda i-stop = more cycling = faster wear. MX-5 soft-top = sealing matters.,zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,62,,,"BUMPER-TO-BUMPER COVERAGE: 4-year/50,000-mile bumper-to-bumper.",Mercedes 4/50K B2B.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,63,,,REFRIGERANT TRANSITION: Mercedes was AN EARLY ADOPTER — transitioned to R-1234yf in 2014-2017 — among the EARLIEST OEMs ,Mercedes 2014-2017 — earliest. PAG 46. Carbon cabin filter 20K.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,64,,,"THE EQS, EQE, EQB, EQS SUV, AND OTHER MERCEDES EVs USE R-1234yf WITH ELECTRIC COMPRESSORS AND HEAT PUMP SYSTEMS.",Mercedes EV = POE + heat pump. 4-zone = special procedures.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,65,,,"Common Mercedes issues: ACC (Automatic Climate Control) system failures, evaporator core leaks, blend-door actuator wear","Mercedes = ACC, evap, blend-door. MB-Approved required.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,67,,,"BUMPER-TO-BUMPER COVERAGE: 4-year/50,000-mile bumper-to-bumper.",BMW 4/50K B2B.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,68,,,REFRIGERANT TRANSITION: BMW transitioned to R-1234yf in 2014-2017 — early adopter alongside Mercedes.,BMW 2014-2017 transition. They call it MICROFILTER. 30K interval.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,69,,,"THE i4, iX, i5, i7, iX3, AND OTHER BMW EVs USE R-1234yf WITH ELECTRIC COMPRESSORS AND HEAT PUMP SYSTEMS.",BMW EV = POE + heat pump. Rolls/MINI = BMW-derived.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,70,,,"Common BMW issues: condenser leaks, blower motor failures, IHKA (climate control) module issues, water-pump-driven coola","BMW = condenser, blower, IHKA module. Watch for climate control complaints.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,72,,,"BUMPER-TO-BUMPER COVERAGE: 4-year/50,000-mile bumper-to-bumper.",VW/Audi 4/50K B2B.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,73,,,REFRIGERANT TRANSITION: VW/Audi transitioned to R-1234yf in 2014-2017 — early adopter alongside Mercedes and BMW.,VW/Audi 2014-2017 transition. Cabin filter 20-30K.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,74,,,"THE ID.4, ID.BUZZ, AUDI Q4 e-tron, Q6 e-tron, Q8 e-tron, e-tron GT, AND OTHER VW/AUDI EVs USE R-1234yf WITH ELECTRIC COM",VW/Audi EV = POE only. MQB shares across brands.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,75,,,"Common VW/Audi issues: HVAC blend-door actuator failures, climate control module issues, evaporator core leaks.","VW/Audi = blend-door, climate module, evap leaks.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,80,,,Position: Strong A/C service program with the BG Frigi-Charge system.,BG = Frigi line + machine.,zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,81,,,BG recommends annual A/C service before peak summer season — reflecting BG's preventive-maintenance philosophy.,"BG = annual A/C, all technologies.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,82,,,Strong dealer network with backed warranties on BG-treated systems through the BG Lifetime Protection Plan.,BG has its own warranty.,zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,84,,,Position: Premium A/C service products with strong European market presence.,Wynn's = European specialty.,zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,85,,,Wynn's has been around since 1939 with field-proven A/C product formulations across decades of refrigerant transitions i,"Wynn's = old brand, all refrigerant generations.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,86,,,Available globally for international and import-focused service operations including specific products for emerging mark,Wynn's = global brand.,zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,88,,,Position: A/C service products with motorsport heritage.,"Bardahl — global brand, covers EV/Hybrid.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,89,,,"Multi-step approach combining lubrication, cleaning, and refrigerant management as comprehensive maintenance.","Bardahl — racing brand, full-system approach.",zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,90,,,Tested against extreme operating conditions — Bardahl's formulations are designed for vehicles operating in extreme cond,Bardahl — extreme climates.,zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,94,e0887b40-bd6a-426a-805b-1492224d4ead,"Position: **COMPREHENSIVE 7-PRODUCT A/C AND HVAC LINEUP COVERING EVERY ANGLE OF A/C SERVICE.** Universal refrigerant lubrication compatible with R-12, R-134a, AND R-1234yf; performance enhancer that l",Position: COMPREHENSIVE 7-PRODUCT A/C AND HVAC LINEUP COVERING EVERY ANGLE OF A/C SERVICE.,MOC = full A/C ecosystem. Motorcraft = Ford OE.,generic,ACR-047 EVC-007 ACO-010 ABL-006,ACR-047,EVC-007 ACO-010 ABL-006
Service Knowledge — AC HVAC,95,d78b62f1-54ea-4e70-8859-e6d55f5366f6,"**A/C Quiet MAX (PN 0136 — available as PN 01361 2 oz / PN 01368 8 oz, Universal Refrigerant Lubricant).** **UNIVERSAL LUBRICANT FOR R-134a, R-1234yf AND R-12 SYSTEMS — covers legacy and current refri","A/C Quiet MAX (PN 0136 — available as PN 01361 2 oz / PN 01368 8 oz, Universal Refrigerant Lubricant).","A/C Quiet MAX = universal, all refrigerants. Leak dye built in.",generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,96,ff863505-16d9-4acf-902d-ac2a4caf3a66,"**ArcticBlast (PN 0620, 10 ml syringe, A/C Performance Enhancer).** Proprietary blend for R-134a and R-1234yf systems. Not an oil or refrigerant — a non-toxic, eco-friendly treatment. **PROVEN TO LOWE","ArcticBlast (PN 0620, 10 ml syringe, A/C Performance Enhancer).","ArcticBlast = 45 seconds, every customer. Colder faster.",generic,ABL-006,,ABL-006
Service Knowledge — AC HVAC,97,88bb023f-37f8-40b2-bc9e-52f56c493c5a,"**Odor-B-Gone Liquid (PN 0650 Unscented / PN 0651 New Car Scent, 8 oz).** Special blend that quickly **NEUTRALIZES ODORS** that form in evaporator core, A/C system housing, and vehicle interiors. **NE","Odor-B-Gone Liquid (PN 0650 Unscented / PN 0651 New Car Scent, 8 oz).","Odor-B-Gone PN 0650/0651 = 5 min, no machine.",generic,ACO-010,,ACO-010
Service Knowledge — AC HVAC,98,454dc2d0-dda8-445f-8b7b-bdcdc814bfec,"**A/C Odor Treatment (PN 1050, 5 oz aerosol, Clean Scent).** **IMMEDIATELY ATTACKS ODORS ON CONTACT.** Eliminates odor-producing organisms in evaporator core and housing. Cleanses A/C system of contam","A/C Odor Treatment (PN 1050, 5 oz aerosol, Clean Scent).",A/C Odor Treatment PN 1050 = aerosol. Year-round.,generic,ACO-010,,ACO-010
Service Knowledge — AC HVAC,99,c11c165e-7068-40b5-ae7a-aae31f523557,"**Evaporator Core Cleaner (PN 1052, 10 oz aerosol foam, Patented Process).** **PATENTED FOAM PROCESS** that cleans and removes odor-producing build up on evaporator core surface. **DRILL 3/8 INCH ACCE","Evaporator Core Cleaner (PN 1052, 10 oz aerosol foam, Patented Process).","EVC-007 = MOC PN 1052. Foam, deep clean. Beat the Heat program.",generic,EVC-007,,EVC-007
Service Knowledge — AC HVAC,100,8b376cc3-9419-499f-ae0c-6fa5de83c65e,"**Odor-B-Gone Fogger (PN 1065, 5 oz aerosol).** Self-contained fogger application — **SET, LOCK, LEAVE FOR 10 MINUTES.** Works in two ways: positively-charged molecules combat negative-charge bacteria","Odor-B-Gone Fogger (PN 1065, 5 oz aerosol).","Fogger PN 1065 = set, lock, leave 10 minutes.",generic,ACO-010,,ACO-010
Service Knowledge — AC HVAC,101,7fffa007-521c-4415-a8fc-740657d070a9,"**Fresh A/C (PN 10507, 2 oz aerosol) — THE EPA-REGISTERED HOSPITAL-GRADE DISINFECTANT.** **EPA REGISTERED AS STAPHYLOCIDAL, PSEUDOMONICIDAL, AND FUNGICIDAL SPRAY.** Hospital-grade disinfectant kills *","Fresh A/C (PN 10507, 2 oz aerosol) — THE EPA-REGISTERED HOSPITAL-GRADE DISINFECTANT.","Fresh A/C PN 10507 = hospital-grade. EPA-registered. Kills viruses, bacteria, mold.",generic,ACO-010 CAF-002,CAF-002,ACO-010
Service Knowledge — AC HVAC,102,4dc77e04-4349-4a6c-bf30-91ed1a35f5c4,"**MOC A/C Service Equipment** — Universal Misting Gun (for Odor-B-Gone Liquid), A/C Injector Tool #76004 (for A/C Quiet MAX), ArcticBlast Injector Tools (#76008 for R-134a; #76025 for R-1234yf), Evapo","MOC A/C Service Equipment — Universal Misting Gun (for Odor-B-Gone Liquid), A/C Injector Tool #76004 (for A/C Quiet MAX)",MOC has the tools for every product.,zero,ACR-047,ACR-047,
Service Knowledge — AC HVAC,106,7c558951-4833-4238-8bf4-3983dcfd2c95,Strategy 1: The 'How Is Your Air Conditioning Working' Opening (preserved from existing Engine & Perf R10 word track). Mitch's anchor question on every write-up April through October: 'How is your air,Strategy 1: The 'How Is Your Air Conditioning Working' Opening (preserved from existing Engine & Perf R10 word track).,How is your AC working? — Ask every customer April-October.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,107,eed151b6-a405-4948-9f89-d27c1a4d96ee,"Strategy 2: ArcticBlast — 45 Seconds, Every Customer, No Exceptions (preserved from Success Cycle Speech R18). Mitch's anchor word track: 'If you don't offer Arctic Blast, you are allergic to money. 4","Strategy 2: ArcticBlast — 45 Seconds, Every Customer, No Exceptions (preserved from Success Cycle Speech R18).",45 seconds. Every customer. Allergic to money if you skip it.,generic,ABL-006,,ABL-006
Service Knowledge — AC HVAC,108,de3d727a-e2bd-48d4-b5f1-1df6bc66c552,"Strategy 3: BEAT THE HEAT Program (preserved from Success Cycle Speech R43, R47). Mitch's named A/C combo: ABL-006 Arctic Blast + EVC-007 AC EVAP Core Cleaning = **30,000-mile A/C compressor warranty.","Strategy 3: BEAT THE HEAT Program (preserved from Success Cycle Speech R43, R47).",Beat the Heat = ArcticBlast + AC EVAP. 30K compressor warranty.,generic,ABL-006 EVC-007,,ABL-006 EVC-007
Service Knowledge — AC HVAC,109,863a8d90-cb4d-4dbf-ab42-5459359f876f,"Strategy 4: Cabin Filter Piggyback — Every Filter Is an A/C Conversation (preserved from Success Cycle Speech R22). **A clogged cabin filter at 25,000 miles yields ~30% LESS AIRFLOW.** Mitch's word tr",Strategy 4: Cabin Filter Piggyback — Every Filter Is an A/C Conversation (preserved from Success Cycle Speech R22).,30% less airflow at 25K miles — say that.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,110,595010d2-12c1-4b4c-bdfd-e503eb74637b,Strategy 5: The Cabin Filter Affects Heat Too — Year-Round (preserved from Success Cycle Speech R38). Most customers think cabin filter = A/C. Most advisors pitch it only as A/C. **A clogged cabin fil,Strategy 5: The Cabin Filter Affects Heat Too — Year-Round (preserved from Success Cycle Speech R38).,CAF affects heat too. 20-25% less heat at 25K.,generic,CAF-002,CAF-002,
Service Knowledge — AC HVAC,111,db174df8-7d21-4bd9-876b-51354fa1dde3,Strategy 6: Cabin Filter Upgrade Options — Charcoal / Scented / Three-Tier Offer (preserved from Success Cycle Speech R39 + R37). Old dog trick: don't just offer the standard filter. **Offer charcoal,Strategy 6: Cabin Filter Upgrade Options — Charcoal / Scented / Three-Tier Offer (preserved from Success Cycle Speech R3,"Three options: standard, charcoal, scented. Plus Fresh A/C.",generic,CAF-002 ACO-010,CAF-002,ACO-010
Service Knowledge — AC HVAC,112,a2fe11e2-7b8c-4d9b-a44b-d962bf08b242,Strategy 7: Refrigerant Identification — Customer-Cost Honesty. **R-1234yf costs 5-10x more than R-134a.** Identify refrigerant type BEFORE quoting service — check the under-hood label. Customer who h,Strategy 7: Refrigerant Identification — Customer-Cost Honesty.,Check the label. R-134a = cheap. R-1234yf = 5-10x more.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,116,9373f556-faf0-45a3-a970-9ec5288c24d4,"A/C service has BROAD industry consensus on the underlying reality — the **R-134a to R-1234yf REFRIGERANT TRANSITION** is the biggest A/C industry change in 25 years, **EPA SECTION 609 CERTIFICATION**",A/C service has BROAD industry consensus on the underlying reality — the R-134a to R-1234yf REFRIGERANT TRANSITION is th,Refrigerant change + EPA cert + mold = A/C reality.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,117,cc0f3775-f5df-4c1e-8eeb-6781d20e149c,**THE R-1234yf TRANSITION HAS CHANGED THE COST OF MAJOR REPAIRS SIGNIFICANTLY.** R-1234yf costs 5-10x more than R-134a. Refrigerant identification BEFORE quoting service is mandatory. Mercedes/BMW/VW/,THE R-1234yf TRANSITION HAS CHANGED THE COST OF MAJOR REPAIRS SIGNIFICANTLY.,Check the label first. 5-10x cost difference.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,118,d6ebac4a-d38f-426c-9344-fef2db63903e,"**EV AND HYBRID ELECTRIC COMPRESSORS USE POE OIL ONLY — NEVER PAG OIL. CROSS-CONTAMINATION CAUSES ELECTRICAL SHORT CIRCUITS** in the electric compressor windings, leading to catastrophic compressor fa",EV AND HYBRID ELECTRIC COMPRESSORS USE POE OIL ONLY — NEVER PAG OIL.,Hybrid + EV = POE only. NEVER PAG. Across all OEMs.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,119,a1e2e355-3196-4daf-9c69-f3870886c45d,Practical guidance summary. **(1) Identify refrigerant type** — pre-quote step. **(2) Verify EPA Section 609 certification** on techs. **(3) Annual A/C inspection before peak summer.** **(4) Pair cabi,Practical guidance summary.,Identify / verify / annual / pair CAF / Beat the Heat / odor / POE on EV / sensory cues.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,120,8e3f77ea-d9c8-4c45-8564-7e1fa7c7a444,"Position A/C service as INEXPENSIVE INSURANCE vs the cost of compressor or evaporator replacement after fluid neglect. **Compressor failure runs $1,000-$2,500+ for parts and labor; preventive A/C serv",Position A/C service as INEXPENSIVE INSURANCE vs the cost of compressor or evaporator replacement after fluid neglect.,Inexpensive insurance + customer feels the difference.,generic,ACR-047,ACR-047,
Service Knowledge — EV Hybrid,5,eab0c990-ebfb-4202-8ea1-caabdf6a891f,"**EV MAINTENANCE IS FUNDAMENTALLY RESTRUCTURED — EDUCATION FIRST, SALE SECOND.** The customer who buys an EV is told 'no maintenance needed' by the salesperson, and they largely believe it. The actual","EV MAINTENANCE IS FUNDAMENTALLY RESTRUCTURED — EDUCATION FIRST, SALE SECOND.","EVs need fewer services. Education first, sale second.",generic,,,
