group,tier,shape,ratio,why,flag,quote_key,id,voice,slot,body_140,linked,proposed_action,decision
28,near,drift,1.00,jaccard 1.000,,Q0198,770469ab-3651-476e-a3b2-96e8ef35434e,Mitch Hardt,slot2,"Don't tell me you can't. Yes you can. Tell me you won't, and then get ready to battle.",,survive,
28,near,drift,1.00,jaccard 1.000,,Q0270,5e842984-640a-44de-9d66-b64128fe3aaa,Mitch Hardt,both,"Tell me you won't, and then get ready to battle. Don't tell me you can't — yes you can.",,retire,
29,near,drift,0.67,one contains the other,,Q0407,5ebad65f-5d64-4fe4-a043-fc7d4d2f88e0,Ray Lewis,slot3,"Effort is 100% in the mind. No coach, no player, nobody else can make you run to the ball.",,retire,
29,near,drift,0.67,one contains the other,,Q0412,b5f26c41-ab99-4c68-a24f-bcf6f7a5f26b,Ray Lewis,both,"Effort is isolated. Nobody can dictate it. Effort is 100% in the mind. No coach, no player, nobody else can make you run to the ball.",,survive,
30,near,drift,0.87,jaccard 0.929,,Q0282,edb11ff7-9c11-4568-a981-fb68dd7929c4,Mitch Hardt,both,"I only want you to sell two things all day, every day: yourself and your team. Everything else is just offerings.",,survive,
30,near,drift,0.87,jaccard 0.929,,Q0346,622508f6-bf98-429a-b32b-03b9cb267d4d,Mitch Hardt,both,"Only sell two things all day, every day: yourself and your team. Everything else is just offerings.",,retire,
31,near,drift,0.63,one contains the other,,Q0426,f105978d-f902-450e-8d80-5f41e6c67253,Stephen A. Smith,both,Make sure you convince folks to make that requisite investment in you.,,retire,
31,near,drift,0.63,one contains the other,,Q0429,69c081ab-4e59-42b7-9b67-ae679121fdfb,Stephen A. Smith,both,Make sure you convince folks to make that requisite investment in you — because your success means their success.,,survive,
31,near,drift,0.63,one contains the other,,Q0430,e520ef8b-685e-4d99-b082-204a502ee12f,Stephen A. Smith,both,Don't come cheap. Make sure you convince folks to make that requisite investment in you.,,retire,
35,near,drift,0.63,"shares a sentence: ""talent is the easiest thing you will ever be giv""",,Q0403,81f29758-709b-4cec-9c56-89b9ae64bdbf,Ray Lewis,both,Talent is the easiest thing you will ever be given. Stop riding on talent. Ride on purpose.,,retire,
35,near,drift,0.63,"shares a sentence: ""talent is the easiest thing you will ever be giv""",,Q0409,9ccd64af-13da-4319-8163-1ebe0ee8b647,Ray Lewis,both,Talent is the easiest thing you will ever be given. It's what you do with it that decides your purpose. Stop riding on talent. Ride on purpo,,survive,
37,near,drift,0.78,one contains the other,,Q0063,d7753432-2b2f-42dc-9229-0f3441ae1736,Kobe Bryant,slot3,Work hard in the dark to shine in the light.,,retire,
37,near,drift,0.78,one contains the other,,Q0095,87dc0e6f-0893-4cc8-b762-0b4b31d746f7,Kobe Bryant,both,You have to work hard in the dark to shine in the light.,linked,survive,
39,near,drift,0.79,"shares a sentence: ""no offering something a customer doesn't need in""",,Q0202,b47a981b-2ddd-409c-b6a2-56d3e87db664,Mitch Hardt,both,We always want you to do it ethically. No shortcutting. No offering something a customer doesn't need in the guise that they do.,,retire,
39,near,drift,0.79,"shares a sentence: ""no offering something a customer doesn't need in""",,Q0279,91db5066-752d-4bd9-bbf3-fdacc9daa5ce,Mitch Hardt,both,We are not asking you to oversell anything. No shortcutting. No offering something a customer doesn't need in the guise that they do. That's,,survive,
41,near,drift,0.63,"shares a sentence: ""daily micro goal with a personal reward""",,Q0240,9a3f2d93-d1dd-40e6-aeff-7158af6b7c88,Mitch Hardt,both,"""Daily micro-goal with a personal reward. Three is attainable. Chase the three and you'll find the piggbacks. It keeps you from going throug",,survive,
41,near,drift,0.63,"shares a sentence: ""daily micro goal with a personal reward""",,Q0246,e6e78f34-4898-4e9a-a8dc-731e08fe7385,Mitch Hardt,both,"""Daily micro-goal with a personal reward. Chase the three and you'll find the piggbacks."" — Kenzie Hardt, CSI class",,retire,
44,near,drift,0.73,one contains the other,,Q0098,cd3c2fa3-cd9c-4dd1-8316-1c368f1cdffc,Kobe Bryant,slot3,I can't relate to lazy people. We don't speak the same language. I don't understand you.,,retire,
44,near,drift,0.73,one contains the other,,Q0139,af4a8eb0-d2e5-4880-8a2f-134e5074a440,Kobe Bryant,both,I can't relate to lazy people. We don't speak the same language. I don't understand you. I don't want to understand you.,,survive,
47,near,drift,0.70,one contains the other,,Q0038,f5edc2de-f404-4d00-a784-26fa4183f79d,Jimmy Valvano,slot3,Nothing great can be accomplished without enthusiasm to keep your dreams alive in spite of problems.,,retire,
47,near,drift,0.70,one contains the other,,Q0048,fafeb2af-c4c7-4e2e-ab39-3fb1eb15b13a,Jimmy Valvano,both,"""Nothing great can be accomplished without enthusiasm to keep your dreams alive in spite of problems."" — Ralph Waldo Emerson, cited by Jimmy",,survive,
2,near,excerpt,0.38,one contains the other,,Q0107,f608558e-8c06-4d25-a1b5-863e134f7d7c,Kobe Bryant,both,"From day one, I wanted to dominate. I had a constant craving, a yearning to improve. I never needed any external forces to motivate me.",,survive,
2,near,excerpt,0.38,one contains the other,,Q0126,02f6a390-c144-4bbf-99f5-3780b3577800,Kobe Bryant,both,I never needed any external forces to motivate me.,,retire,
3,near,excerpt,0.43,one contains the other,,Q0248,0318776f-ca57-4b61-85a0-1531248e0764,Mitch Hardt,slot2,Gamify what you want to improve — it makes the job go faster.,,retire,
3,near,excerpt,0.43,one contains the other,,Q0287,3465e865-042b-4582-99b9-43f56d4e3cbd,Mitch Hardt,slot2,Celebrate wins. Word track of the day contest. Track reservations set and kept. Gamify what you want to improve — it makes the job go faster,,survive,
4,near,excerpt,0.30,"shares a sentence: ""this too shall pass ancient proverb""",,Q0395,ce41618b-764c-46b1-abe3-2559c9f5650c,Proverb / Traditional,slot3,Failure? This too shall pass.,,retire,
4,near,excerpt,0.30,"shares a sentence: ""this too shall pass ancient proverb""",,Q0396,10d5621e-e236-4554-94f0-633f1708e9a5,Proverb / Traditional,slot3,Success? This too shall pass.,,retire,
4,near,excerpt,0.30,"shares a sentence: ""this too shall pass ancient proverb""",,Q0397,37bb050a-b408-45f1-adc1-0d136c7c5376,Proverb / Traditional,both,"""This too shall pass. Success? This too shall pass. Failure? This too shall pass."" — Ancient proverb",,survive,
4,near,excerpt,0.30,"shares a sentence: ""this too shall pass ancient proverb""",,Q0398,046873b7-4346-4461-b257-0ec53663ad9c,Proverb / Traditional,slot3,"""Failure? This too shall pass."" — Ancient proverb",,retire,
4,near,excerpt,0.30,"shares a sentence: ""this too shall pass ancient proverb""",,Q0399,16de41e4-c9e0-4277-8dea-173eebc81f76,Proverb / Traditional,slot3,"""Success? This too shall pass."" — Ancient proverb",,retire,
5,near,excerpt,0.41,one contains the other,,Q0065,a0c08159-30ff-4efe-9ecc-66d9f2ee9e5e,Kobe Bryant,slot3,"Once you know what you want, the world becomes your library.",,retire,
5,near,excerpt,0.41,one contains the other,,Q0097,066cc737-465a-4a2a-90ea-4577ac501acf,Kobe Bryant,both,"Once you know what you want, the world becomes your library — giving you exactly the information you need because you know what you're looki",,survive,
6,near,excerpt,0.55,one contains the other,,Q0105,7852287f-2864-4a98-8e72-22c5be91a57b,Kobe Bryant,slot3,Stay consistent long enough and one day you look back and realize: you didn't just change your habits — you changed your character and rebui,,survive,
6,near,excerpt,0.55,one contains the other,,Q0124,07d8354a-532d-448e-a683-3ec73f58af96,Kobe Bryant,slot3,You didn't just change your habits — you changed your character and rebuilt yourself.,,retire,
10,near,excerpt,0.41,"shares a sentence: ""without commitment you'll never start""",,Q0024,83b68162-5405-490b-8658-bce98598b425,Denzel Washington,both,Dreams without goals are just dreams. And ultimately they fuel disappointment.,,retire,
10,near,excerpt,0.41,"shares a sentence: ""without commitment you'll never start""",,Q0025,5a4bbd2d-bb8f-41ae-9806-f521f46631ee,Denzel Washington,both,"Without commitment, you'll never start. But without consistency, you'll never finish.",,retire,
10,near,excerpt,0.41,"shares a sentence: ""without commitment you'll never start""",,Q0026,28ad107e-b44e-40f7-9d55-b0486d33ddbc,Denzel Washington,slot3,"Dreams without goals are just dreams. On the road you must apply discipline — but more importantly, consistency. Without commitment, you'll ",,survive,
11,near,excerpt,0.26,one contains the other,link overrides text tiebreak (text would pick Q0106),Q0072,2ee681a5-d0cb-4a17-ab1f-308ea1c0e01e,Kobe Bryant,slot3,Demand excellence from YOURSELF.,linked,survive,
11,near,excerpt,0.26,one contains the other,link overrides text tiebreak (text would pick Q0106),Q0106,8b0140b7-9355-453f-bb55-e5af6ccd4603,Kobe Bryant,both,"Demand excellence from yourself. From the beginning, I wanted to dominate. I didn't need any external forces to motivate me.",,retire,
15,near,excerpt,0.60,"shares a sentence: ""nobody can charge you for passion""",,Q0406,3a3acd71-0c42-4f64-b032-82165cd6cb6d,Ray Lewis,both,Passion is free. Nobody can charge you for passion. That's all about you.,,retire,
15,near,excerpt,0.60,"shares a sentence: ""nobody can charge you for passion""",,Q0411,6a459522-2ca3-4ae4-b5a9-a2d6c0c47898,Ray Lewis,both,Passion is free. Nobody can charge you for passion. Nobody can tell you what it looks like — because that's all about you.,,survive,
16,near,excerpt,0.49,identical,,Q0074,cb730a58-7be1-4b4c-8c89-820c1dc60620,Kobe Bryant,slot3,Monday — get better. Tuesday — get better. Wednesday — get better.,,retire,
16,near,excerpt,0.49,identical,,Q0110,f55c0691-33ad-48f4-a9b9-53f79a567ca6,Kobe Bryant,both,Monday — get better. Tuesday — get better. Wednesday — get better. Do that over ten years and you get to where you want to go.,,survive,
16,near,excerpt,0.49,identical,,Q0130,3cf891c6-c011-4387-b97a-396eb9ebd085,Kobe Bryant,slot3,Monday get better. Tuesday get better. Wednesday get better.,,retire,
17,near,excerpt,0.39,one contains the other,,Q0068,c0e4c2cc-14a9-4225-b670-d596ca05da98,Kobe Bryant,slot3,Stop waking up like your old version of yourself.,,retire,
17,near,excerpt,0.39,one contains the other,,Q0101,3fc934ec-188a-4c57-9f02-b3cfea1dbaf3,Kobe Bryant,both,You want a stronger mind? Stop feeding it garbage. You want a different life? Stop waking up like your old version of yourself.,,survive,
19,near,excerpt,0.33,one contains the other,,Q0071,4155fd14-e3e4-4a37-baf9-b34ecafdf00f,Kobe Bryant,slot3,Self-improvement isn't motivation — it's management.,,retire,
19,near,excerpt,0.33,one contains the other,,Q0104,a56d7ad8-d4bf-44a8-9c72-66495ad2617d,Kobe Bryant,slot3,"Self-improvement isn't motivation — it's management. Manage your time, habits, emotions, environment. Become the person who doesn't fold whe",,survive,
20,near,excerpt,0.45,one contains the other,,Q0073,ca74c314-5381-49dd-8bd0-f2ec1e20479d,Kobe Bryant,slot3,Always keep going. The storm eventually ends.,,retire,
20,near,excerpt,0.45,one contains the other,,Q0108,47c553d1-b88b-42a1-bf56-b250d2b36b19,Kobe Bryant,slot3,"Always keep going. The storm eventually ends — and when it does, you want to make sure you are ready.",linked,survive,
21,near,excerpt,0.57,"shares a sentence: ""tell me something i don't know""",,Q0201,493c7c2f-d813-407f-9275-9b234b818786,Mitch Hardt,both,"Tell me something I don't know. That's the challenge. If you can't, you've stopped growing.",,retire,
21,near,excerpt,0.57,"shares a sentence: ""tell me something i don't know""",,Q0277,ca5e2eec-8ffd-4167-aa71-ef76c02b5a0c,Mitch Hardt,both,"Tell me something I don't know. That's the challenge for every experienced advisor. If you can't come up with one thing per customer, you've",,survive,
22,near,excerpt,0.36,jaccard 0.917,,Q0226,f08c7f85-4de4-4440-8495-3cdfcc732f9b,Mitch Hardt,slot3,I looked in your cup to see if you have enough.,,retire,
22,near,excerpt,0.36,jaccard 0.917,,Q0311,50a34aa2-ef79-484e-851e-6086435b431a,Mitch Hardt,both,I looked in your cup to see if you have enough. You looked in mine to check if I had more than you. That difference is everything.,linked,survive,
22,near,excerpt,0.36,jaccard 0.917,,Q0362,d8262b36-f597-4a26-9056-be392e16c96f,Mitch Hardt,both,I looked in your cup to see if you have enough. You looked in mine to check if I had more. That difference is everything.,,retire,
23,near,excerpt,0.56,"shares a sentence: ""that 35 and try to get it to 41""",,Q0253,a62c55d3-b8ad-4866-a1a6-1ca31b653d46,Mitch Hardt,both,Take a 30% closing ratio and try to get it to 35. That 35% and try to get it to 41.,,retire,
23,near,excerpt,0.56,"shares a sentence: ""that 35 and try to get it to 41""",,Q0320,52276970-717b-4a96-9492-4a69527cd957,Mitch Hardt,both,Take that 30% closing ratio and try to get it to 35. That 35% and try to get it to 41. Those small incremental successes will absolutely pay,,survive,
23,near,excerpt,0.56,"shares a sentence: ""that 35 and try to get it to 41""",,Q0367,e32395f5-8aae-4f2e-8fd8-79b1d70f4cc3,Mitch Hardt,both,Take that 30% closing ratio and try to get it to 35. That 35% and try to get it to 41.,,retire,
24,near,excerpt,0.43,one contains the other,link overrides text tiebreak (text would pick Q0285),Q0205,52c395a0-ab97-4bad-8393-7331ddb337c5,Mitch Hardt,both,Practice doesn't make perfect. Perfect practice makes perfect.,linked,survive,
24,near,excerpt,0.43,one contains the other,link overrides text tiebreak (text would pick Q0285),Q0285,832005b0-0e07-4ae1-931a-edf8d1429d09,Mitch Hardt,both,"Practice doesn't make perfect. Perfect practice makes perfect. If you practice the same crappy way every day, you'll get the same crappy res",,retire,
25,near,excerpt,0.58,one contains the other,,Q0317,6de01adf-2795-46c5-8fc1-f5b7648edd66,Mitch Hardt,both,"What I want to challenge you guys to do is take the average, take the ordinary, and make it extraordinary.",,survive,
25,near,excerpt,0.58,one contains the other,,Q0365,5492ffa3-174d-463e-bd7d-297457ac1c57,Mitch Hardt,both,"Take the average, take the ordinary, and make it extraordinary.",,retire,
27,near,excerpt,0.51,one contains the other,,Q0465,cefb4519-d123-43f2-bbb5-ae334e7b693a,Walt Whitman,both,"The powerful play goes on, and you may contribute a verse.",,retire,
27,near,excerpt,0.51,one contains the other,,Q0468,595a31de-1ea3-47e9-ad4b-fba5d309f91d,Walt Whitman,both,"""The powerful play goes on, and you may contribute a verse."" — Walt Whitman, ""O Me! O Life!"" (cited in Dead Poets Society)",,survive,
32,near,excerpt,0.58,one contains the other,,Q0209,e2df5331-53ae-487d-a796-c3c4911345d3,Mitch Hardt,both,Success is a choice. You either choose to be successful or not to be successful. Which are you gonna choose?,,survive,
32,near,excerpt,0.58,one contains the other,,Q0249,7007ff9a-ffa4-40e0-842a-e55a4f4241fb,Mitch Hardt,both,Success is a choice. You either choose to be successful or not.,,retire,
32,near,excerpt,0.58,one contains the other,,Q0353,7659c12c-d729-4b67-baa0-aec6ee2e5cef,Mitch Hardt,slot3,Success is a choice. You either choose to be successful or not. Which are you gonna choose?,,retire,
33,near,excerpt,0.45,one contains the other,,Q0218,ee4c1a35-0eef-4f03-9de6-cd6d0c883d14,Mitch Hardt,both,"Earn it in private — when nobody's clapping, when nobody's checking.",,retire,
33,near,excerpt,0.45,one contains the other,,Q0303,77439439-53d5-4d8e-82fa-3942853424ab,Mitch Hardt,both,"""You've got to earn it in private — when nobody's clapping, when nobody's checking, when nobody's posting about you. That's the real proving",,survive,
34,near,excerpt,0.25,one contains the other,,Q0141,7e736e25-6290-4469-ad9a-4b6647ff55b4,Lou Holtz,both,"Ask yourself what's important now — because it'll evaluate the past, focus on the future, and tell you what you have to do in the present.",linked,survive,
34,near,excerpt,0.25,one contains the other,,Q0142,ac6e4ed6-cb16-4f12-b96b-fdf9b32fb577,Lou Holtz,both,"""Ask yourself what's important now",,retire,
36,near,excerpt,0.50,"shares a sentence: ""every day i have an affirmation""",,Q0297,b2a54165-dfe5-4d4b-be95-2be6b0dfa286,Mitch Hardt,both,Every day I have an affirmation. Today's was about details — so all day I gave more detail than last time. One focus applied to every RO cha,,survive,
36,near,excerpt,0.50,"shares a sentence: ""every day i have an affirmation""",,Q0356,87393a08-5680-4f27-aaeb-9f39d0350d44,Mitch Hardt,both,Every day I have an affirmation. One focus — applied to everything I do that day.,,retire,
38,near,excerpt,0.37,one contains the other,,Q0216,e6815822-016f-41bd-bed0-b09da03f36df,Mitch Hardt,both,Everybody wants to be great until they see the invoice.,,retire,
38,near,excerpt,0.37,one contains the other,,Q0301,8a89bd64-c4e2-418a-9e50-418c2f32837d,Mitch Hardt,both,"""Everybody wants to be great until they see the invoice. Greatness will cost you sleep. It will cost you comfort. Most people aren't willing",,survive,
40,near,excerpt,0.24,one contains the other,,Q0220,94d1d04a-a2de-4572-9ed9-f6338a67665e,Mitch Hardt,slot3,The King still has one more move.,,retire,
40,near,excerpt,0.24,one contains the other,,Q0306,d4ce111c-1cde-4bcb-8695-1bfab96346ac,Mitch Hardt,both,"""When I observed the board, I found out the king still has one more move."" — The Checkmate story (Louvre / chess champion sermon illustratio",,survive,
42,near,excerpt,0.51,one contains the other,,Q0094,a2ab5f1a-e9cb-4500-919c-f286b314c021,Kobe Bryant,both,"The Mamba Mentality simply means trying to be the best version of yourself. Every day you're trying to become better — it's a constant, infi",linked,survive,
42,near,excerpt,0.51,one contains the other,,Q0116,b35d9f44-40c3-470f-b641-561699df8c8b,Kobe Bryant,slot3,The Mamba Mentality simply means trying to be the best version of yourself.,,retire,
43,near,excerpt,0.49,"shares a sentence: ""it's grinding when nobody claps for you""",,Q0069,a64359a6-6e06-4321-a580-3b5379735855,Kobe Bryant,slot3,Growth is uncomfortable. It's grinding when nobody claps for you.,,retire,
43,near,excerpt,0.49,"shares a sentence: ""it's grinding when nobody claps for you""",,Q0102,de49e61d-77cf-479a-96dc-e9bc9f8b9d01,Kobe Bryant,both,Growth is uncomfortable. It's early mornings. It's saying no when you feel like saying yes. It's grinding when nobody claps for you.,,survive,
45,near,excerpt,0.40,one contains the other,,Q0035,c3413871-a8ba-4371-9ef1-52d412d2236d,Jimmy Valvano,both,"If you laugh, you think, and you cry — that's a full day.",,retire,
45,near,excerpt,0.40,one contains the other,,Q0041,e7e47969-5406-4274-83c9-83392ee6743a,Jimmy Valvano,both,"Laugh every day. Spend some time in thought. Have your emotions moved to tears. If you laugh, you think, and you cry — that's a full day.",,survive,
