course,module,question,option_a,option_b,option_c,option_d,answer,explanation,source_cue_title
The Walk-Around,4. Raising a Problem Well,"What has the internet done to customers, according to this lesson?",Made them smarter,Made them more suspicious,Made them better prepared,Made them lazier — they think they know because they can Google,D,Your job is to know the things they cannot Google.,Know Your Product Better Than Your Customer
The Walk-Around,4. Raising a Problem Well,A customer has a small scratch. What is the right move?,Introduce them to the parts department for a matching paint pen,Note it on the RO,Say nothing,Offer a full respray quote,A,"The paint pen rule — pair the negative with an immediate, specific solution.",No Negative Without a Positive Solution — The Paint Pen Rule
The Walk-Around,5. Tires on the Drive,"In the tire maintenance ladder, how often should a rotation happen?",Every oil change,Every other oil change,Every third oil change,Once a year,A,"Rotate every oil change, balance every other, alignment every third or roughly every 15,000 miles.",The Tire Maintenance Ladder
The Walk-Around,5. Tires on the Drive,Who should get a tire quote?,Only customers in the red,Only customers who ask,"Only customers over 30,000 miles","Every customer, including green tread",D,"If you want to be in the tire business, quote everyone and staple it to the MPI or the deferred list.",Print a Tire Quote for Every Customer
The Walk-Around,5. Tires on the Drive,What is the Texas rain safety close for balance?,"Out-of-balance tires bounce, and a bouncing tire on an oily wet road loses contact",Rain causes hydroplaning,Rain wears tires faster,Rain affects tire pressure,A,Out-of-balance tires are literally bouncing down the road. Add oil rising after a dry spell and the risk is concrete.,Balance — The Texas Rain Safety Close
The Walk-Around,5. Tires on the Drive,What alignment detail breaks through where 'it pulls left' does not?,The cost,The warranty,The emergency braking skid angle,The tire wear pattern,C,"Customers say 'I know, I'm used to it' about pulling. The braking angle is a safety fact they have not heard.",Alignment — Emergency Braking Skid Angle
The Walk-Around,6. Visibility and Wipers,"Why check wipers even on a $7,000 engine job?",It adds revenue,A customer leaving in the rain who cannot see remembers the dealership that never checked,It is on the MPI,The technician expects it,B,The big repair is not what gets remembered. The wipers are.,Check Wipers on Every RO
The Walk-Around,6. Visibility and Wipers,What share of Texas collisions involve reduced visibility?,12%,25%,42%,60%,C,"42% — used as a care conversation, not a scare tactic.",Windshield Treatment — 42% of Texas Collisions
The Walk-Around,6. Visibility and Wipers,What makes a physical demo effective?,The customer sees the difference themselves rather than being told,It takes less time,It is cheaper than a word track,It avoids objections,A,"Treat half a glass door, spray water on both sides, and the product sells itself.",Sell the Sizzle — Physical Demos Close
The Walk-Around,6. Visibility and Wipers,"Before pitching a chemical or service product, what should you do?",Read the label,Ask a technician,Have it done on your own vehicle first,Check the price,C,'I put this on my car last month — here's what it did' is the most credible pitch there is.,Demo It in Your Own Vehicle First
The Walk-Around,7. The Handback,When should PPE be removed from a customer's vehicle?,In the bay before they arrive,"Visibly, in front of the customer",After they drive away,It does not matter,B,"Removing the mat, seat cover, and gloves where they can see communicates care and that the vehicle was protected.",Remove PPE Visibly in Front of the Customer
The Walk-Around,7. The Handback,What should you check before handing back the keys?,"Grease stains on the wheel, door, and seat, and the floor mat",Fuel level,Tire pressure,The radio station,A,A single grease smudge on a clean interior is the detail a customer remembers over the whole repair.,Proof the Car Before Delivery — Grease Stain Check
The Walk-Around,7. The Handback,Why does proofing the car matter more than the repair quality?,It does not,Because it is faster,Because technicians are careless,Because the customer can judge cleanliness but cannot judge the repair,D,The customer has no way to evaluate the work itself. They evaluate what they can see.,Proof the Car Before Delivery — Grease Stain Check
The Walk-Around,7. The Handback,What two things does visibly removing PPE communicate?,Speed and efficiency,Cost and value,That the vehicle was protected and that you are finished with care,Safety and compliance,C,It closes the loop on the promise you made when you covered the seat in the first place.,Remove PPE Visibly in Front of the Customer
