code,name,catalog_category,family,coachable,confidence,note
BCS-032,Caliper Service,Brakes,Brake Service,true,high,
BAT-033,Battery Replacement,Battery & Electrical,Battery,true,high,
BTS-034,Battery Terminal Service,Battery & Electrical,Battery,true,high,
BTT-035,Battery Test,Battery & Electrical,Battery,true,high,
ATT-036,Alternator Test,Battery & Electrical,Battery,true,medium,"Charging system rather than the battery itself; Battery has no electrical sibling."
BLB-037,Bulb Replacement,Battery & Electrical,Lighting,true,high,"Name over category: Lighting is its own family."
SRP-038,Serpentine Belt,Belts & Hoses,Belts & Cooling,true,high,
TMB-039,Timing Belt,Belts & Hoses,Belts & Cooling,true,high,
WTP-040,Water Pump,Belts & Hoses,Belts & Cooling,true,high,
IDP-041,Idler Pulley,Belts & Hoses,Belts & Cooling,true,high,
CLH-042,Coolant Hoses,Belts & Hoses,Belts & Cooling,true,high,
SPK-043,Spark Plugs,Engine & Performance,Spark Plugs,true,high,
TBC-044,Throttle Body Clean,Engine & Performance,Fuel System,true,medium,"Air side rather than fuel side, but sold in the induction conversation with FIC-045."
FIC-045,Fuel Injector Clean,Engine & Performance,Fuel System,true,high,
EFL-046,Engine Flush,Engine & Performance,Oil Change,true,ruled,Group 3 — moves with the oil-change orbit.
ACR-047,AC Recharge,Engine & Performance,HVAC,true,high,"HVAC is content-gated at zero cues today; the A/C HVAC re-import turns it on."
ACS-048,AC System Check,Engine & Performance,HVAC,true,high,
HLR-049,Headlight Restoration,Engine & Performance,Lighting,true,high,
TPS-050,Tire Pressure Check,Engine & Performance,Tires & Rotation,true,high,"CATALOG FIX FOR MITCH: filed under Engine & Performance rather than Tires, and collides with TPS-026."
CPC-051,Charge Port Cleaner,EV / Hybrid,EV & Hybrid,true,ruled,Group 1 — the 21st family.
RDD-052,Rodent Deterrent,EV / Hybrid,EV & Hybrid,true,ruled,Group 1 — the 21st family.
ACE-053,AC Evaporator Cleaning,Engine & Performance,HVAC,true,high,"Alias target for EVC-007 and (proposed) ACO-010."
ABT-054,Arctic Blast,Engine & Performance,HVAC,true,high,Alias target for ABL-006.
SUS-058,Suspension Service,Suspension,Suspension,true,high,"PIGGYBACK TYPOS: references TIR-022 and TRO-024, neither of which exists."
DPF-059,Diesel Particulate Filter Service,Engine & Performance,Fuel System,true,ruled,"Group 1 — flagged. A one-code Emissions family is not worth its own shelf until Mitch adds more diesel content."
ACC-060,Accessories,Accessories,Accessories,false,high,"Never coached, by design — see the note in lib/dms/mapping.ts."
MPI-061,Multi-Point Inspection,Inspection,Inspections,false,ruled,"Group 4 — the process that generates the other sales, not a service sold against a benchmark. Its coaching is two of Mitch's six stages (MPI Setup, After-MPI). Never an Eddie's Pick."
UCI-062,Used Car Inspection,Inspection,Inspections,true,high,
OAD-063,Oil Additive,Fluids,Oil Change,true,ruled,Group 3 — moves with the oil-change orbit.
HYB-064,Hybrid / EV Maintenance,EV / Hybrid,EV & Hybrid,true,ruled,"Group 1 — the 21st family. 89 EV/Hybrid cues are waiting on it."
MNU-001,Oil Change Menu — Basic,Menus,Oil Change,false,ruled,"Group 2 — map for reporting, never coach. A bundle cannot be below benchmark on attach."
MNU-002,Oil Change Menu — Preferred,Menus,Oil Change,false,ruled,Group 2 — map for reporting, never coach.
MNU-003,Oil Change Menu — Premium,Menus,Oil Change,false,ruled,Group 2 — map for reporting, never coach.
MNU-004,Tire & Brake Menu,Menus,Tires & Rotation,false,ruled,"Group 2 settles it. Spans Tires & Rotation and Brake Service; filed with what it leads with, and never coached, so the split does not matter."
MNU-005,Engine Performance Menu,Menus,Fuel System,false,ruled,Group 2 — map for reporting, never coach.
MNU-006,Cooling System Menu,Menus,Belts & Cooling,false,ruled,Group 2 — map for reporting, never coach.
MNU-007,AC Service Menu,Menus,HVAC,false,ruled,Group 2 — map for reporting, never coach.
MNU-008,Transmission Service Menu,Menus,Fluids,false,ruled,Group 2 — map for reporting, never coach.
MNU-009,Seasonal Prep — Winter,Menus,Maintenance,false,ruled,Group 2 — map for reporting, never coach.
MNU-010,Seasonal Prep — Summer,Menus,Maintenance,false,ruled,Group 2 — map for reporting, never coach.
MNU-011,High Mileage Menu,Menus,Maintenance,false,ruled,Group 2 — map for reporting, never coach.
